Ticker,Name,Sector,Month,Return%
BE,Bloom Energy,NewEnergy,2026-05,0.2
NEE,NextEra Energy,NewEnergy,2025-06,-0.93
NEE,NextEra Energy,NewEnergy,2025-07,2.37
NEE,NextEra Energy,NewEnergy,2025-08,2.17
NEE,NextEra Energy,NewEnergy,2025-09,4.77
NEE,NextEra Energy,NewEnergy,2025-10,7.83
NEE,NextEra Energy,NewEnergy,2025-11,6.74
NEE,NextEra Energy,NewEnergy,2025-12,-6.97
NEE,NextEra Energy,NewEnergy,2026-01,9.48
NEE,NextEra Energy,NewEnergy,2026-02,7.41
NEE,NextEra Energy,NewEnergy,2026-03,-0.95
NEE,NextEra Energy,NewEnergy,2026-04,5.38
NEE,NextEra Energy,NewEnergy,2026-05,-3.11
RIVN,Rivian,NewEnergy,2025-06,-5.44
RIVN,Rivian,NewEnergy,2025-07,-6.33
RIVN,Rivian,NewEnergy,2025-08,5.44
RIVN,Rivian,NewEnergy,2025-09,8.18
RIVN,Rivian,NewEnergy,2025-10,-7.56
RIVN,Rivian,NewEnergy,2025-11,24.24
RIVN,Rivian,NewEnergy,2025-12,16.9
RIVN,Rivian,NewEnergy,2026-01,-25.16
RIVN,Rivian,NewEnergy,2026-02,3.93
RIVN,Rivian,NewEnergy,2026-03,-1.83
RIVN,Rivian,NewEnergy,2026-04,8.97
RIVN,Rivian,NewEnergy,2026-05,-14.15
LCID,Lucid,NewEnergy,2025-06,-5.38
LCID,Lucid,NewEnergy,2025-07,16.59
LCID,Lucid,NewEnergy,2025-08,-19.51
LCID,Lucid,NewEnergy,2025-09,20.15
LCID,Lucid,NewEnergy,2025-10,-25.39
LCID,Lucid,NewEnergy,2025-11,-23.21
LCID,Lucid,NewEnergy,2025-12,-22.45
LCID,Lucid,NewEnergy,2026-01,4.73
LCID,Lucid,NewEnergy,2026-02,-9.67
LCID,Lucid,NewEnergy,2026-03,-4.7
LCID,Lucid,NewEnergy,2026-04,-33.16
LCID,Lucid,NewEnergy,2026-05,-5.34
NIO,NIO,NewEnergy,2025-06,-3.11
NIO,NIO,NewEnergy,2025-07,41.98
NIO,NIO,NewEnergy,2025-08,31.01
NIO,NIO,NewEnergy,2025-09,19.44
NIO,NIO,NewEnergy,2025-10,-4.86
NIO,NIO,NewEnergy,2025-11,-24.14
NIO,NIO,NewEnergy,2025-12,-7.27
NIO,NIO,NewEnergy,2026-01,-7.84
NIO,NIO,NewEnergy,2026-02,3.62
NIO,NIO,NewEnergy,2026-03,23.82
NIO,NIO,NewEnergy,2026-04,5.97
NIO,NIO,NewEnergy,2026-05,-5.01
LI,Li Auto,NewEnergy,2025-06,-4.34
LI,Li Auto,NewEnergy,2025-07,-3.73
LI,Li Auto,NewEnergy,2025-08,-10.54
LI,Li Auto,NewEnergy,2025-09,8.52
LI,Li Auto,NewEnergy,2025-10,-17.72
LI,Li Auto,NewEnergy,2025-11,-11.8
LI,Li Auto,NewEnergy,2025-12,-7.94
LI,Li Auto,NewEnergy,2026-01,-1.77
LI,Li Auto,NewEnergy,2026-02,5.77
LI,Li Auto,NewEnergy,2026-03,1.36
LI,Li Auto,NewEnergy,2026-04,0.0
LI,Li Auto,NewEnergy,2026-05,5.83
XPEV,XPeng,NewEnergy,2025-06,-7.41
XPEV,XPeng,NewEnergy,2025-07,1.85
XPEV,XPeng,NewEnergy,2025-08,15.43
XPEV,XPeng,NewEnergy,2025-09,11.42
XPEV,XPeng,NewEnergy,2025-10,0.3
XPEV,XPeng,NewEnergy,2025-11,-7.07
XPEV,XPeng,NewEnergy,2025-12,-7.1
XPEV,XPeng,NewEnergy,2026-01,-11.34
XPEV,XPeng,NewEnergy,2026-02,-2.34
XPEV,XPeng,NewEnergy,2026-03,-2.56
XPEV,XPeng,NewEnergy,2026-04,-4.73
XPEV,XPeng,NewEnergy,2026-05,-0.92
^GSPC,SP500,Index,2025-06,4.96
